wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Mn2.7O4Zn0.3	Mn;O;Zn;	2.7;4;0.3;	32 K;
Mn23Nd6	Mn;Nd;	23;6;	438 K;416 K;445 K;416 K;438 K;
Mn23Pr6	Mn;Pr;	23;6;	448 K;
Mn23Sm6	Mn;Sm;	23;6;	450 K;439 K;450 K;439 K;442 K;
Mn23Tb6	Mn;Tb;	23;6;	455 K;455 K;455 K;453 K;
Mn23Tm6	Mn;Tm;	23;6;	404 K;
Mn23Y6	Mn;Y;	23;6;	486 K;493 K;480 K;498 K;486 K;486 K;486 K;500 K;
Mn23Yb6	Mn;Yb;	23;6;	406 K;406 K;
Mn2Nd	Mn;Nd;	2;1;	104 K;
Mn2Nd2O9SrTi	Mn;Nd;O;Sr;Ti;	2;2;9;1;1;	131 K;
Mn2Ni4O4	Mn;Ni;O;	2;4;4;	116 K;
Mn2NiO4	Mn;Ni;O;	2;1;4;	110 K;
Mn2NiSb	Mn;Ni;Sb;	2;1;1;	647 K;
Mn2NiSn	Mn;Ni;Sn;	2;1;1;	565 K;530 K;
Mn2Np	Mn;Np;	2;1;	18 K;
Mn2O4Ti	Mn;O;Ti;	2;4;1;	77 K;78 K;69 K;62 K;
Mn2O4V	Mn;O;V;	2;4;1;	62 K;45 K;
Mn2Pr	Mn;Pr;	2;1;	115 K;112 K;
Mn2PtV	Mn;Pt;V;	2;1;1;	243 K;
Mn2PuSi2	Mn;Pu;Si;	2;1;2;	215 K;215 K;
Mn2RhSn	Mn;Rh;Sn;	2;1;1;	270 K;
Mn2Sb	Mn;Sb;	2;1;	550 K;550 K;598 K;550 K;550 K;
Mn2Si2U	Mn;Si;U;	2;2;1;	375 K;
Mn2Sm	Mn;Sm;	2;1;	86 K;
Mn2Sn	Mn;Sn;	2;1;	263 K;
Mn2Tb	Mn;Tb;	2;1;	48 K;48 K;40 K;26 K;
Mn2Tm	Mn;Tm;	2;1;	12 K;12 K;
Mn2Y	Mn;Y;	2;1;	112 K;81 K;110 K;
Mn3NSb	Mn;N;Sb;	3;1;1;	353 K;
Mn3O4	Mn;O;	3;4;	43 K;43 K;43 K;43 K;30 K;46 K;42 K;45 K;42 K;
Mn3O6Re	Mn;O;Re;	3;6;1;	50 K;
Mn3Sn2	Mn;Sn;	3;2;	257 K;227 K;262 K;280 K;262 K;
Mn4N	Mn;N;	4;1;	745 K;
Mn4N0.9901	Mn;N;	4;0.9901;	759 K;
Mn4Y	Mn;Y;	4;1;	487 K;
Mn5Si3	Mn;Si;	5;3;	60 K;
Mn5Sm	Mn;Sm;	5;1;	440 K;440 K;439 K;
Mn5Tb	Mn;Tb;	5;1;	445 K;
Mn5Y	Mn;Y;	5;1;	490 K;495 K;487 K;490 K;486 K;
MnNa0.7O2	Mn;Na;O;	1;0.7;2;	60 K;
MnNb3S6	Mn;Nb;S;	1;3;6;	48 K;
MnNb4S8	Mn;Nb;S;	1;4;8;	100 K;
MnNd0.08Sb11Yb13.92	Mn;Nd;Sb;Yb;	1;0.08;11;13.92;	49 K;
MnNd0.56Sb11Yb13.44	Mn;Nd;Sb;Yb;	1;0.56;11;13.44;	40 K;
MnNd0.5O3Sr0.5	Mn;Nd;O;Sr;	1;0.5;3;0.5;	255 K;
MnNd0.62O3Pb0.38	Mn;Nd;O;Pb;	1;0.62;3;0.38;	175 K;
MnNi	Mn;Ni;	1;1;	240 K;
MnNi2Sn	Mn;Ni;Sn;	1;2;1;	350 K;345 K;
MnNi3	Mn;Ni;	1;3;	750 K;759 K;132 K;
MnNiSb	Mn;Ni;Sb;	1;1;1;	730 K;728 K;765 K;
MnO3Pb0.37Pr0.63	Mn;O;Pb;Pr;	1;3;0.37;0.63;	215 K;
MnO3V	Mn;O;V;	1;3;1;	70 K;65 K;65 K;
MnO3Yb	Mn;O;Yb;	1;3;1;	3.8 K;
MnO4V2	Mn;O;V;	1;4;2;	56 K;57 K;
MnP	Mn;P;	1;1;	291 K;291 K;291.5 K;233 K;291.5 K;298 K;293 K;292 K;291 K;290 K;292 K;290 K;290.5 K;
MnPRh	Mn;P;Rh;	1;1;1;	401 K;401 K;
MnPZr	Mn;P;Zr;	1;1;1;	370 K;
MnPbRh2	Mn;Pb;Rh;	1;1;2;	335 K;335 K;338 K;338 K;
MnPd2Sb	Mn;Pd;Sb;	1;2;1;	247 K;247 K;
MnPd2Sn	Mn;Pd;Sn;	1;2;1;	190 K;189 K;
MnPdSb	Mn;Pd;Sb;	1;1;1;	500 K;500 K;500 K;
MnPr0.08Sb11Yb13.92	Mn;Pr;Sb;Yb;	1;0.08;11;13.92;	50 K;
MnPr0.19Sb11Yb13.81	Mn;Pr;Sb;Yb;	1;0.19;11;13.81;	47 K;
MnPr0.28Sb11Yb13.72	Mn;Pr;Sb;Yb;	1;0.28;11;13.72;	43 K;
MnPr0.32Sb11Yb13.68	Mn;Pr;Sb;Yb;	1;0.32;11;13.68;	42 K;
MnPr0.44Sb11Yb13.56	Mn;Pr;Sb;Yb;	1;0.44;11;13.56;	40 K;
MnPr0.53Sb11Yb13.47	Mn;Pr;Sb;Yb;	1;0.53;11;13.47;	39 K;
MnPt3	Mn;Pt;	1;3;	498 K;493 K;380 K;
MnPtSb	Mn;Pt;Sb;	1;1;1;	582 K;585 K;
MnPtSn	Mn;Pt;Sn;	1;1;1;	330 K;353 K;360 K;
MnRh2Sb	Mn;Rh;Sb;	1;2;1;	335 K;304 K;
MnRh2Sn	Mn;Rh;Sn;	1;2;1;	338 K;412 K;412 K;412 K;410 K;410 K;431 K;412 K;
MnRhSb	Mn;Rh;Sb;	1;1;1;	320 K;320 K;338 K;
MnS8Ta4	Mn;S;Ta;	1;8;4;	75 K;
MnSb	Mn;Sb;	1;1;	556 K;587 K;
MnSb11Sm0.11Yb13.89	Mn;Sb;Sm;Yb;	1;11;0.11;13.89;	49 K;
MnSb11Sm0.6Yb13.4	Mn;Sb;Sm;Yb;	1;11;0.6;13.4;	42 K;
MnSb11Yb14	Mn;Sb;Yb;	1;11;14;	53 K;
MnSi	Mn;Si;	1;1;	38 K;31 K;30 K;29 K;30 K;38 K;30 K;
MnSiTe3	Mn;Si;Te;	1;1;3;	82 K;
MnTe	Mn;Te;	1;1;	260 K;
MnZn3	Mn;Zn;	1;3;	250 K;400 K;
Mo16N7	Mo;N;	16;7;	175 K;
N3U2	N;U;	3;2;	235 K;186 K;
N4Th3	N;Th;	4;3;	362 K;
NNd	N;Nd;	1;1;	32 K;33.5 K;27.6 K;43 K;25 K;35 K;
NSm	N;Sm;	1;1;	27 K;
NTb	N;Tb;	1;1;	42 K;
NaO6RuSr3	Na;O;Ru;Sr;	1;6;1;3;	70 K;
NbS3U	Nb;S;U;	1;3;1;	107 K;
NbSb5U3	Nb;Sb;U;	1;5;3;	107 K;
Nd	Nd;	1;	29 K;
Nd0.25Tb0.75	Nd;Tb;	0.25;0.75;	180 K;
Nd0.75Pt2.25	Nd;Pt;	0.75;2.25;	10 K;
Nd11Sn10	Nd;Sn;	11;10;	75 K;
Nd2Ni7	Nd;Ni;	2;7;	87 K;87 K;
Nd3S4	Nd;S;	3;4;	50 K;
Nd3Sn7	Nd;Sn;	3;7;	10.5 K;
Nd5Sb3	Nd;Sb;	5;3;	60 K;
Nd5Sn4	Nd;Sn;	5;4;	67 K;
NdNi	Nd;Ni;	1;1;	31 K;35 K;28 K;
NdNi2	Nd;Ni;	1;2;	9 K;15.7 K;20 K;16 K;15.5 K;
NdNi3	Nd;Ni;	1;3;	27 K;27 K;
NdNi5	Nd;Ni;	1;5;	8 K;13 K;7.2 K;7.2 K;13 K;8 K;6.4 K;
NdO3V	Nd;O;V;	1;3;1;	132 K;
NdOs2	Nd;Os;	1;2;	23 K;27.5 K;
NdOs4Sb12	Nd;Os;Sb;	1;4;12;	1 K;
NdPt2	Nd;Pt;	1;2;	6.7 K;
NdPt5	Nd;Pt;	1;5;	6 K;
NdRh2	Nd;Rh;	1;2;	8.1 K;
NdRhSn	Nd;Rh;Sn;	1;1;1;	10.3 K;
NdRu2	Nd;Ru;	1;2;	35 K;
NdSi	Nd;Si;	1;1;	46 K;
NdSi2	Nd;Si;	1;2;	10 K;
NdSn	Nd;Sn;	1;1;	32 K;
NdZn2	Nd;Zn;	1;2;	24 K;
Ni	Ni;	1;	631 K;627 K;630 K;630 K;633 K;627.4 K;631 K;627 K;
Ni0.5Pd0.5	Ni;Pd;	0.5;0.5;	1.95 K;57.5 K;11 K;31 K;60 K;6 K;80 K;12.5 K;4.05 K;
Ni0.5Pt0.5	Ni;Pt;	0.5;0.5;	11.2 K;90 K;255 K;140 K;370 K;
Ni0.5Rh0.5	Ni;Rh;	0.5;0.5;	250 K;25 K;12 K;150 K;
Ni0.8Ru0.2	Ni;Ru;	0.8;0.2;	512 K;
Ni0.92Sb0.08	Ni;Sb;	0.92;0.08;	620 K;
Ni0.9Ti0.1	Ni;Ti;	0.9;0.1;	553 K;
Ni15Y2	Ni;Y;	15;2;	119 K;
Ni16Y2	Ni;Y;	16;2;	142 K;
Ni17Sm2	Ni;Sm;	17;2;	186 K;160 K;186 K;
Ni17Tb2	Ni;Tb;	17;2;	178 K;178 K;178 K;
Ni17Tm2	Ni;Tm;	17;2;	152 K;152 K;152 K;152 K;
Ni17Y2	Ni;Y;	17;2;	160 K;149 K;170 K;600 K;160 K;160 K;152 K;
Ni17Yb2	Ni;Yb;	17;2;	145 K;
Ni2.6Si0.4Tb2	Ni;Si;Tb;	2.6;0.4;2;	78 K;
Ni2.9Y	Ni;Y;	2.9;1;	32 K;
Ni2Np	Ni;Np;	2;1;	32 K;32 K;32 K;
Ni2Pr	Ni;Pr;	2;1;	8 K;
Ni2PuSi2	Ni;Pu;Si;	2;1;2;	42 K;42 K;
Ni2Sm	Ni;Sm;	2;1;	22 K;22 K;77 K;21.3 K;21 K;
Ni2Tb	Ni;Tb;	2;1;	45 K;40 K;40 K;35 K;35 K;46 K;40 K;45 K;
Ni2Tm	Ni;Tm;	2;1;	13.5 K;13.5 K;1.1 K;14 K;13.5 K;
Ni2U	Ni;U;	2;1;	21 K;27 K;18 K;27 K;24 K;21 K;
Ni2Yb	Ni;Yb;	2;1;	5.7 K;
Ni3.34P6U3	Ni;P;U;	3.34;6;3;	139 K;
Ni3Pr	Ni;Pr;	3;1;	20 K;20 K;
Ni3Pt	Ni;Pt;	3;1;	225 K;
Ni3Sm	Ni;Sm;	3;1;	85 K;85 K;
Ni3Tb	Ni;Tb;	3;1;	98 K;100 K;99 K;
Ni3Tm	Ni;Tm;	3;1;	43 K;43 K;
Ni3Y	Ni;Y;	3;1;	30 K;33 K;30 K;35 K;33 K;33 K;
Ni3Yb	Ni;Yb;	3;1;	10 K;20 K;
Ni4P2Yb	Ni;P;Yb;	4;2;1;	0.15 K;
Ni5Pr	Ni;Pr;	5;1;	0 K;0 K;0.00037 K;
Ni5Sm	Ni;Sm;	5;1;	41 K;25 K;27.5 K;
Ni5Tb	Ni;Tb;	5;1;	27 K;23 K;23 K;23 K;27 K;22 K;23.5 K;23 K;22.7 K;22.4 K;27 K;
Ni5Tm	Ni;Tm;	5;1;	4.5 K;22 K;22 K;
Ni6.8Y2	Ni;Y;	6.8;2;	60 K;
Ni6.9Y2	Ni;Y;	6.9;2;	52 K;
Ni7Pr2	Ni;Pr;	7;2;	85 K;85 K;
Ni7Tb2	Ni;Tb;	7;2;	98 K;99.5 K;101 K;
Ni7Y2	Ni;Y;	7;2;	56 K;54 K;58 K;52 K;57 K;59 K;58 K;59 K;60 K;
NiNpSi2	Ni;Np;Si;	1;1;2;	51.5 K;
NiPr	Ni;Pr;	1;1;	21.5 K;22 K;20 K;
NiSi2U	Ni;Si;U;	1;2;1;	100 K;95 K;
NiSi3U2	Ni;Si;U;	1;3;2;	30 K;25 K;
NiSiU	Ni;Si;U;	1;1;1;	18 K;18 K;
NiSm	Ni;Sm;	1;1;	46 K;45 K;
NiSnYb	Ni;Sn;Yb;	1;1;1;	5.65 K;5.6 K;5.5 K;
NiTb	Ni;Tb;	1;1;	52 K;50 K;51 K;
NiTm	Ni;Tm;	1;1;	8 K;8 K;7 K;4 K;
NiTm3	Ni;Tm;	1;3;	12 K;12 K;
NiY	Ni;Y;	1;1;	4 K;
NiYb	Ni;Yb;	1;1;	9 K;
NpOs2	Np;Os;	1;2;	7.5 K;7.4 K;7.5 K;
NpSb2	Np;Sb;	1;2;	47 K;
NpSe3	Np;Se;	1;3;	18 K;
NpTe3	Np;Te;	1;3;	25 K;
O10Ru3Sr4	O;Ru;Sr;	10;3;4;	105 K;
O3PrV	O;Pr;V;	3;1;1;	135 K;
O3RuSr	O;Ru;Sr;	3;1;1;	160 K;160 K;160 K;160 K;
O3SrV	O;Sr;V;	3;1;1;	85 K;
O3TbV	O;Tb;V;	3;1;1;	113 K;
O3TiY	O;Ti;Y;	3;1;1;	30 K;
O3TmV	O;Tm;V;	3;1;1;	106 K;
O3VYb	O;V;Yb;	3;1;1;	104 K;103 K;
O7Pt2Yb2	O;Pt;Yb;	7;2;2;	0.3 K;
O7Ru2Sr3	O;Ru;Sr;	7;2;3;	104 K;
O7Sn2Yb2	O;Sn;Yb;	7;2;2;	0.15 K;
O7Ti2Yb2	O;Ti;Yb;	7;2;2;	0.15 K;0.24 K;0.195 K;
Os2Sm	Os;Sm;	2;1;	35 K;34 K;
Os2Tb	Os;Tb;	2;1;	33 K;
Os4Sb12Sm	Os;Sb;Sm;	4;12;1;	2.6 K;2.6 K;
P4U3	P;U;	4;3;	138 K;138 K;138 K;140 K;137.8 K;142 K;165 K;
PPu	P;Pu;	1;1;	126 K;125 K;126.5 K;
PSeU	P;Se;U;	1;1;1;	55 K;
PTeU	P;Te;U;	1;1;1;	85 K;
Pb3Tb5	Pb;Tb;	3;5;	215.3 K;
Pd2Tb3	Pd;Tb;	2;3;	40 K;
Pd3Sm7	Pd;Sm;	3;7;	183 K;
PdSbU	Pd;Sb;U;	1;1;1;	65 K;77 K;
PdSi3U2	Pd;Si;U;	1;3;2;	15.5 K;75 K;
PdSiYb	Pd;Si;Yb;	1;1;1;	8 K;
Pm	Pm;	1;	98 K;
Pr0.25Tb0.75	Pr;Tb;	0.25;0.75;	163.5 K;
Pr3Sn7	Pr;Sn;	3;7;	11.8 K;
Pr3Tl	Pr;Tl;	3;1;	11 K;11.6 K;
Pr7Pt3	Pr;Pt;	7;3;	16 K;
PrPt2	Pr;Pt;	1;2;	7.7 K;7.9 K;
PrRh2	Pr;Rh;	1;2;	7.9 K;8.6 K;7.9 K;
PrRhSn	Pr;Rh;Sn;	1;1;1;	3 K;
PrRu2	Pr;Ru;	1;2;	40 K;23 K;33.9 K;33.9 K;
PrRu2Si2	Pr;Ru;Si;	1;2;2;	14 K;
PrSi	Pr;Si;	1;1;	54 K;
PrSi2	Pr;Si;	1;2;	11 K;11 K;12 K;11 K;
Pt3Pu2Si5	Pt;Pu;Si;	3;2;5;	58 K;
Pt3V	Pt;V;	3;1;	290 K;240 K;206 K;
Pt5Tb	Pt;Tb;	5;1;	7 K;
PtSi2U	Pt;Si;U;	1;2;1;	86 K;85 K;
PtSi3U2	Pt;Si;U;	1;3;2;	90 K;8 K;
PtSnU	Pt;Sn;U;	1;1;1;	30 K;
PtTb	Pt;Tb;	1;1;	56 K;
PtTb2	Pt;Tb;	1;2;	98 K;
PtTm	Pt;Tm;	1;1;	6 K;
PtU	Pt;U;	1;1;	28.6 K;
PuS	Pu;S;	1;1;	118 K;
PuSe	Pu;Se;	1;1;	55 K;
PuTe	Pu;Te;	1;1;	85 K;
Rh2Tm	Rh;Tm;	2;1;	0.4 K;
Rh3Sb4U3	Rh;Sb;U;	3;4;3;	105 K;
RhSbYb	Rh;Sb;Yb;	1;1;1;	2.7 K;
RhSi3U2	Rh;Si;U;	1;3;2;	19.5 K;24 K;
RhSiU	Rh;Si;U;	1;1;1;	10.5 K;9.5 K;
RhSnU	Rh;Sn;U;	1;1;1;	17 K;
RhU	Rh;U;	1;1;	57 K;57 K;55 K;
Ru2Tb	Ru;Tb;	2;1;	52 K;
RuSbU	Ru;Sb;U;	1;1;1;	35 K;
RuSnU	Ru;Sn;U;	1;1;1;	55 K;51 K;
S2Ta	S;Ta;	2;1;	0.9 K;0.9 K;
S3TaU	S;Ta;U;	3;1;1;	113 K;
STeU	S;Te;U;	1;1;1;	85 K;
SU	S;U;	1;1;	180 K;178 K;182 K;174 K;177 K;177 K;178 K;179.8 K;180 K;177 K;177 K;
Sb4U3	Sb;U;	4;3;	146 K;
Sb4U5	Sb;U;	4;5;	86 K;86 K;
Sb5ScU3	Sb;Sc;U;	5;1;3;	130 K;130 K;
Sb5TiU3	Sb;Ti;U;	5;1;3;	160 K;160 K;
Sb5U3Zr	Sb;U;Zr;	5;3;1;	135 K;
SbSeU	Sb;Se;U;	1;1;1;	128 K;128 K;
SbTeU	Sb;Te;U;	1;1;1;	127 K;127 K;
SeTeU	Se;Te;U;	1;1;1;	69 K;
SeU	Se;U;	1;1;	160 K;160 K;160 K;
Si3Sm5	Si;Sm;	3;5;	78 K;
SmTl3	Sm;Tl;	1;3;	8.6 K;
SmZn	Sm;Zn;	1;1;	125 K;
Sn2U3	Sn;U;	2;3;	60 K;
Sn4U5	Sn;U;	4;5;	65 K;
Sn5TiU3	Sn;Ti;U;	5;1;3;	65 K;
Sn5U3	Sn;U;	5;3;	45 K;
SnU	Sn;U;	1;1;	55 K;
Tb	Tb;	1;	219.5 K;219.5 K;
TbZn	Tb;Zn;	1;1;	199.56 K;207 K;206 K;199 K;204 K;
Te3U0.89	Te;U;	3;0.89;	12 K;
Te4U3	Te;U;	4;3;	70 K;
TeU	Te;U;	1;1;	110 K;102 K;80 K;102 K;104 K;
Tm	Tm;	1;	32 K;32 K;40 K;
Zn2Zr	Zn;Zr;	2;1;	25 K;0 K;27.6 K;9.1 K;18 K;19.6 K;22 K;28 K;28 K;21.3 K;21 K;
