wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co16.4Sm2Zr0.6	Co;Sm;Zr;	16.4;2;0.6;	1144 K;
Co16.5Ga0.5Pr2	Co;Ga;Pr;	16.5;0.5;2;	1083 K;
Co16.5La2Mo0.5	Co;La;Mo;	16.5;2;0.5;	738 K;
Co16.5La2Nb0.5	Co;La;Nb;	16.5;2;0.5;	1001 K;
Co16.5La2Ta0.5	Co;La;Ta;	16.5;2;0.5;	1032 K;
Co16.5Pr2Si0.5	Co;Pr;Si;	16.5;2;0.5;	1083 K;
Co16.6La2Nb0.4	Co;La;Nb;	16.6;2;0.4;	1025 K;
Co16.6Sm2Zr0.4	Co;Sm;Zr;	16.6;2;0.4;	1163 K;
Co16.8Sm2Zr0.2	Co;Sm;Zr;	16.8;2;0.2;	1181 K;
Co16CrY2	Co;Cr;Y;	16;1;2;	1005 K;
Co16CuY2	Co;Cu;Y;	16;1;2;	1123 K;
Co16Dy2Ga	Co;Dy;Ga;	16;2;1;	1058 K;
Co16Er2Ga	Co;Er;Ga;	16;2;1;	1069 K;
Co16GaGd2	Co;Ga;Gd;	16;1;2;	1055 K;
Co16GaHo2	Co;Ga;Ho;	16;1;2;	1070 K;
Co16GaPr2	Co;Ga;Pr;	16;1;2;	1019 K;1150 K;1060 K;
Co16GaSm2	Co;Ga;Sm;	16;1;2;	1082 K;
Co16GaTb	Co;Ga;Tb;	16;1;1;	900 K;
Co16GaTb2	Co;Ga;Tb;	16;1;2;	1083 K;
Co16GaY2	Co;Ga;Y;	16;1;2;	1065 K;
Co16Ho2Mn	Co;Ho;Mn;	16;2;1;	1106 K;
Co16La0.4Nd1.6Ti	Co;La;Nd;Ti;	16;0.4;1.6;1;	942 K;
Co16La0.4Sm1.6Ti	Co;La;Sm;Ti;	16;0.4;1.6;1;	952 K;
Co16La0.8Nd1.2Ti	Co;La;Nd;Ti;	16;0.8;1.2;1;	940 K;
Co16La0.8Sm1.2Ti	Co;La;Sm;Ti;	16;0.8;1.2;1;	938 K;
Co16La1.2Nd0.8Ti	Co;La;Nd;Ti;	16;1.2;0.8;1;	930 K;
Co16La1.2Sm0.8Ti	Co;La;Sm;Ti;	16;1.2;0.8;1;	932 K;
Co16La1.6Nd0.4Ti	Co;La;Nd;Ti;	16;1.6;0.4;1;	926 K;
Co16La1.6Sm0.4Ti	Co;La;Sm;Ti;	16;1.6;0.4;1;	922 K;
